Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,604.8628,ETC1,0CF00203,00F002,03,--,Extend,Data frm,08,CC 00 00 02 FC 9D 10 FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TransDrivelineEngaged,0,Driveline disengaged,,0,0,2,1,0,,
,TrnsTorqueConverterLockupEngaged,3,Not available,,3,2,2,1,0,,
,TransShiftInProcess,0,Shift is not in process,,0,4,2,1,0,,
,TrnsTrqCnvrtrLckpTrnstnInProcess,3,Not available,,3,6,2,1,0,,
,TransOutputShaftSpeed,0rpm,--,,0,8,16,0.125,0,,
,PercentClutchSlip,0%,--,,0,24,8,0.4,0,,
,EngMomentaryOverspeedEnable,0,Momentary engine overspeed is disabled,,0,32,2,1,0,,
,ProgressiveShiftDisable,3,Take no action,,3,34,2,1,0,,
,MomentaryEngMaxPowerEnable,3,not available,,3,36,2,1,0,,
,TransInputShaftSpeed,626.875rpm,--,,1397,40,16,0.125,0,,
,SrcAddrssOfCntrllngDvcFrTrnsCtrl,255,--,,FF,56,8,1,0,,
2,Receive,604.8631,EEC2,0CF00327,00F003,27,--,Extend,Data frm,08,FD 00 FF 00 05 FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,AccelPedal1LowIdleSwitch,1,Accelerator pedal 1 in low idle condition,,1,0,2,1,0,,
,AccelPedalKickdownSwitch,3,Not available,,3,2,2,1,0,,
,RoadSpeedLimitStatus,3,Not available,,3,4,2,1,0,,
,AccelPedal2LowIdleSwitch,3,Not available,,3,6,2,1,0,,
,AccelPedalPos1,0%,--,,0,8,8,0.4,0,,
,EngPercentLoadAtCurrentSpeed,255%,--,,FF,16,8,1,0,,
,RemoteAccelPedalPos,0%,--,,0,24,8,0.4,0,,
,AccelPedalPos2,32.8%,--,,52,32,8,0.4,0,,
,VhcleAccelerationRateLimitStatus,3,Not available,,3,40,2,1,0,,
,MmntaryEngMaxPowerEnableFeedback,3,dont care,,3,42,2,1,0,,
,DPFThermalManagementActive,3,Dont care,,3,44,2,1,0,,
,SCRThermalManagementActive,3,Dont care,,3,46,2,1,0,,
,ActlMaxAvailableEngPercentTorque,102%,--,,FF,48,8,0.4,0,,
,EstPumpingPercentTorque,130%,--,,FF,56,8,1,-125,,
3,Receive,604.8634,--,18FF8327,00FF83,27,--,Extend,Data frm,08,10 00 00 00 91 B9 81 FF ,,
4,Receive,315.7107,TPDT,18EBFF29,00EB00,29,FF,Extend,Data frm,08,03 FF FF E8 03 FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,SequenceNumber,1,--,,1,0,8,1,0,,
5,Receive,604.8326,--,18FF8200,00FF82,00,--,Extend,Data frm,08,3C 0C FF 07 44 FA 00 B8 ,,
6,Receive,604.8577,TSC1,0C000027,000000,27,00,Extend,Data frm,08,F0 FF FF FF FF FF FF 14 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,0,Override disabled Disable any existing control commanded by the source of this command,,0,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,0,Transient Optimized for driveline disengaged and nonlockup conditions,,0,2,2,1,0,,
,OverrideCtrlModePriority,3,Low priority,,3,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,130%,--,,FF,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,2,--,,2,56,4,1,0,,
,MessageChecksum,6,--,,6,60,4,1,0,,
7,Receive,604.8180,CCSS,18FEED11,00FEED,11,--,Extend,Data frm,08,BA 64 23 FF FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,MaxVehicleSpeedLimit,186km/h,--,,BA,0,8,1,0,,
,CruiseCtrlHighSetLimitSpeed,100km/h,--,,64,8,8,1,0,,
,CruiseCtrlLowSetLimitSpeed,35km/h,--,,23,16,8,1,0,,
8,Receive,604.6366,--,18FF8600,00FF86,00,--,Extend,Data frm,08,00 00 00 BB 42 00 01 80 ,,
9,Receive,604.8407,--,1CFF7700,00FF77,00,--,Extend,Data frm,08,FF FF FF 00 F0 F1 00 FF ,,
10,Receive,604.8626,EEC1,0CF00400,00F004,00,--,Extend,Data frm,08,30 7D 88 99 10 00 F4 88 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngTorqueMode,0,--,,0,0,4,1,0,,
,ActlEngPrcntTorqueHighResolution,7,0875,,7,4,4,1,0,,
,DriversDemandEngPercentTorque,0%,--,,7D,8,8,1,-125,,
,ActualEngPercentTorque,12%,--,,89,16,8,1,-125,,
,EngSpeed,627rpm,--,,1398,24,16,0.125,0,,
,SrcAddrssOfCntrllngDvcForEngCtrl,0,--,,0,40,8,1,0,,
,EngStarterMode,4,starter inhibited due to engine already running,,4,48,4,1,0,,
,EngDemandPercentTorque,13%,--,,8A,56,8,1,-125,,
11,Receive,604.8280,TSC1,0C000F27,000000,27,0F,Extend,Data frm,08,FC FF FF 7D FF FF FF 45 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,0,Override disabled Disable any existing control commanded by the source of this command,,0,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,3,Low priority,,3,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,0%,--,,7D,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,7,--,,7,56,4,1,0,,
,MessageChecksum,6,--,,6,60,4,1,0,,
12,Receive,604.8465,TCO1,0CFE6CEE,00FE6C,EE,--,Extend,Data frm,08,FF FF FF FF FF FF 00 00 ,Tachograph,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Driver1WorkingState,7,Not available,,7,0,3,1,0,,
,Driver2WorkingState,7,Not available,,7,3,3,1,0,,
,VehicleMotion,3,Not available,,3,6,2,1,0,,
,Driver1TimeRelatedStates,15,Not available,,F,8,4,1,0,,
,DriverCardDriver1,3,Not available,,3,12,2,1,0,,
,VehicleOverspeed,3,Not available,,3,14,2,1,0,,
,Driver2TimeRelatedStates,15,Not available,,F,16,4,1,0,,
,DriverCardDriver2,3,Not available,,3,20,2,1,0,,
,SystemEvent,3,Not available,,3,24,2,1,0,,
,HandlingInformation,3,Not available,,3,26,2,1,0,,
,TachographPerformance,3,Not available,,3,28,2,1,0,,
,DirectionIndicator,3,Not available,,3,30,2,1,0,,
,TachographOutputShaftSpeed,8191.875rpm,--,,FFFF,32,16,0.125,0,,
,TachographVehicleSpeed,0km/h,--,,0,48,16,0.0039062485409696,0,,
13,Receive,604.8380,TSC1,0C002927,000000,27,29,Extend,Data frm,08,FC FF FF FF FF FF FF 65 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,0,Override disabled Disable any existing control commanded by the source of this command,,0,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,3,Low priority,,3,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,130%,--,,FF,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,7,--,,7,56,4,1,0,,
,MessageChecksum,1,--,,1,60,4,1,0,,
14,Receive,604.8483,--,1CFFAA27,00FFAA,27,--,Extend,Data frm,08,B1 5E 03 08 01 00 07 00 ,,
15,Receive,604.8645,EEC2,0CF00300,00F003,00,--,Extend,Data frm,08,D1 00 15 00 FF CF 89 FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,AccelPedal1LowIdleSwitch,1,Accelerator pedal 1 in low idle condition,,1,0,2,1,0,,
,AccelPedalKickdownSwitch,0,Kickdown passive,,0,2,2,1,0,,
,RoadSpeedLimitStatus,1,Not Active,,1,4,2,1,0,,
,AccelPedal2LowIdleSwitch,3,Not available,,3,6,2,1,0,,
,AccelPedalPos1,0%,--,,0,8,8,0.4,0,,
,EngPercentLoadAtCurrentSpeed,33%,--,,21,16,8,1,0,,
,RemoteAccelPedalPos,0%,--,,0,24,8,0.4,0,,
,AccelPedalPos2,102%,--,,FF,32,8,0.4,0,,
,VhcleAccelerationRateLimitStatus,3,Not available,,3,40,2,1,0,,
,MmntaryEngMaxPowerEnableFeedback,3,dont care,,3,42,2,1,0,,
,DPFThermalManagementActive,0,DPF Thermal Management is not active,,0,44,2,1,0,,
,SCRThermalManagementActive,3,Dont care,,3,46,2,1,0,,
,ActlMaxAvailableEngPercentTorque,39.6%,--,,63,48,8,0.4,0,,
,EstPumpingPercentTorque,130%,--,,FF,56,8,1,-125,,
16,Receive,604.7691,CCVS,18FEF100,00FEF1,00,--,Extend,Data frm,08,C7 00 00 04 00 1E 00 CF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TwoSpeedAxleSwitch,3,Not available,,3,0,2,1,0,,
,ParkingBrakeSwitch,1,Parking brake set,,1,2,2,1,0,,
,CruiseCtrlPauseSwitch,0,Off,,0,4,2,1,0,,
,ParkBrakeReleaseInhibitRq,3,Unavailable,,3,6,2,1,0,,
,WheelBasedVehicleSpeed,0km/h,--,,0,8,16,0.0039062485409696,0,,
,CruiseCtrlActive,0,Cruise control switched off,,0,24,2,1,0,,
,CruiseCtrlEnableSwitch,1,Cruise control enabled,,1,26,2,1,0,,
,BrakeSwitch,0,Brake pedal released,,0,28,2,1,0,,
,ClutchSwitch,0,Clutch pedal released,,0,30,2,1,0,,
,CruiseCtrlSetSwitch,0,Cruise control activator not in the position set,,0,32,2,1,0,,
,CruiseCtrlCoastSwitch,0,Cruise control activator not in the position coast,,0,34,2,1,0,,
,CruiseCtrlResumeSwitch,0,Cruise control activator not in the position resume,,0,36,2,1,0,,
,CruiseCtrlAccelerateSwitch,0,Cruise control activator not in the position accelerate,,0,38,2,1,0,,
,CruiseCtrlSetSpeed,30km/h,--,,1E,40,8,1,0,,
,PTOGovernorState,0,Off/Disabled,,0,48,5,1,0,,
,CruiseCtrlStates,0,Off/Disabled,,0,53,3,1,0,,
,EngIdleIncrementSwitch,3,Not available,,3,56,2,1,0,,
,EngIdleDecrementSwitch,3,Not available,,3,58,2,1,0,,
,EngTestModeSwitch,0,Off,,0,60,2,1,0,,
,EngShutdownOverrideSwitch,3,Not available,,3,62,2,1,0,,
17,Receive,604.7727,--,1CFF6F00,00FF6F,00,--,Extend,Data frm,08,8F 80 00 F0 C0 FF FF 00 ,,
18,Receive,604.7767,--,18FF8A00,00FF8A,00,--,Extend,Data frm,08,00 FF 99 10 FF 92 7E 29 ,,
19,Receive,604.6846,EEC3,18FEDF00,00FEDF,00,--,Extend,Data frm,08,86 FF FF FF FB 1E 04 FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,NominalFrictionPercentTorque,10%,--,,87,0,8,1,-125,,
,EnginesDesiredOperatingSpeed,65535rpm,--,,FFFF,8,16,1,0,,
,EngnsDsrdOprtngSpdAsymmtryAdjstm,255,--,,FF,24,8,1,0,,
,EstEngPrsiticLossesPercentTorque,126%,--,,FB,32,8,1,-125,,
,Aftrtreatment1ExhaustGasMassFlow,145.8kg/h per bit,--,,2D9,40,16,0.2,0,,
,Aftertreatment1IntakeDewPoint,3,Not available,,3,56,2,1,0,,
,Aftertreatment1ExhaustDewPoint,3,Not available,,3,58,2,1,0,,
,Aftertreatment2IntakeDewPoint,3,Not available,,3,60,2,1,0,,
,Aftertreatment2ExhaustDewPoint,3,Not available,,3,62,2,1,0,,
20,Receive,604.7887,--,18FF6200,00FF62,00,--,Extend,Data frm,08,67 00 C4 00 12 FF FF FF ,,
21,Receive,604.5905,HOURS,18FEE500,00FEE5,00,--,Extend,Data frm,08,66 86 02 00 FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngTotalHoursOfOperation,8273.85hr,--,,28665,0,32,0.05,0,,
,EngTotalRevolutions,4294967295000r,--,,FFFFFFFF,32,32,1000,0,,
22,Receive,604.7926,ERC1,18F00029,00F000,29,--,Extend,Data frm,08,F0 7D FF FF 29 FF FF 64 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,RetarderTorqueMode,0,--,,0,0,4,1,0,,
,RetarderEnableBrakeAssistSwitch,3,Not available,,3,4,2,1,0,,
,RetarderEnableShiftAssistSwitch,3,Not available,,3,6,2,1,0,,
,ActualRetarderPercentTorque,0%,--,,7D,8,8,1,-125,,
,IntendedRetarderPercentTorque,130%,--,,FF,16,8,1,-125,,
,EngCoolantLoadIncrease,3,Not available,,3,24,2,1,0,,
,RetarderRequestingBrakeLight,3,Not available/Take no action,,3,26,2,1,0,,
,RetarderRoadSpeedLimitSwitch,3,Not Available,,3,28,2,1,0,,
,RetarderRoadSpeedExceededStatus,3,Dont care/Take no action,,3,30,2,1,0,,
,SrcAddrssOfCntrllngDvcFrRtrdrCtr,41,--,,29,32,8,1,0,,
,DrvrsDemandRetarderPercentTorque,130%,--,,FF,40,8,1,-125,,
,RetarderSelectionNonengine,102%,--,,FF,48,8,0.4,0,,
,ActlMxAvlblRetarderPercentTorque,-25%,--,,64,56,8,1,-125,,
23,Receive,604.7783,CCVS,18FEF111,00FEF1,11,--,Extend,Data frm,08,C7 00 00 00 00 00 1F 3F ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TwoSpeedAxleSwitch,3,Not available,,3,0,2,1,0,,
,ParkingBrakeSwitch,1,Parking brake set,,1,2,2,1,0,,
,CruiseCtrlPauseSwitch,0,Off,,0,4,2,1,0,,
,ParkBrakeReleaseInhibitRq,3,Unavailable,,3,6,2,1,0,,
,WheelBasedVehicleSpeed,0km/h,--,,0,8,16,0.0039062485409696,0,,
,CruiseCtrlActive,0,Cruise control switched off,,0,24,2,1,0,,
,CruiseCtrlEnableSwitch,0,Cruise control disabled,,0,26,2,1,0,,
,BrakeSwitch,0,Brake pedal released,,0,28,2,1,0,,
,ClutchSwitch,0,Clutch pedal released,,0,30,2,1,0,,
,CruiseCtrlSetSwitch,0,Cruise control activator not in the position set,,0,32,2,1,0,,
,CruiseCtrlCoastSwitch,0,Cruise control activator not in the position coast,,0,34,2,1,0,,
,CruiseCtrlResumeSwitch,0,Cruise control activator not in the position resume,,0,36,2,1,0,,
,CruiseCtrlAccelerateSwitch,0,Cruise control activator not in the position accelerate,,0,38,2,1,0,,
,CruiseCtrlSetSpeed,0km/h,--,,0,40,8,1,0,,
,PTOGovernorState,31,Not available,,1F,48,5,1,0,,
,CruiseCtrlStates,0,Off/Disabled,,0,53,3,1,0,,
,EngIdleIncrementSwitch,3,Not available,,3,56,2,1,0,,
,EngIdleDecrementSwitch,3,Not available,,3,58,2,1,0,,
,EngTestModeSwitch,3,Not available,,3,60,2,1,0,,
,EngShutdownOverrideSwitch,0,Off,,0,62,2,1,0,,
24,Receive,604.7968,LFE,18FEF200,00FEF2,00,--,Extend,Data frm,08,2F 00 00 00 85 06 FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngFuelRate,3.2L/h,--,,40,0,16,0.05,0,,
,EngInstantaneousFuelEconomy,0km/L,--,,0,16,16,0.0019531553964672,0,,
,EngAverageFuelEconomy,3.259816356703757km/L,--,,685,32,16,0.0019531553964672,0,,
,EngThrottleValve1Pos,102%,--,,FF,48,8,0.4,0,,
,EngThrottleValve2Pos,102%,--,,FF,56,8,0.4,0,,
25,Receive,604.7007,--,18FF5200,00FF52,00,--,Extend,Data frm,08,FF FF FF FF FF FF FF FF ,,
26,Receive,604.7883,--,18FF5027,00FF50,27,--,Extend,Data frm,08,29 00 4F 0F 00 64 00 00 ,,
27,Receive,604.8047,--,18FF7F00,00FF7F,00,--,Extend,Data frm,08,25 00 00 25 24 39 00 1B ,,
28,Receive,604.8088,--,1CFF7100,00FF71,00,--,Extend,Data frm,08,0F 0E 05 00 58 00 00 7A ,,
29,Receive,604.8126,ERC1,18F0000F,00F000,0F,--,Extend,Data frm,08,F0 7D 7D FF 29 FF FF 73 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,RetarderTorqueMode,0,--,,0,0,4,1,0,,
,RetarderEnableBrakeAssistSwitch,3,Not available,,3,4,2,1,0,,
,RetarderEnableShiftAssistSwitch,3,Not available,,3,6,2,1,0,,
,ActualRetarderPercentTorque,0%,--,,7D,8,8,1,-125,,
,IntendedRetarderPercentTorque,0%,--,,7D,16,8,1,-125,,
,EngCoolantLoadIncrease,3,Not available,,3,24,2,1,0,,
,RetarderRequestingBrakeLight,3,Not available/Take no action,,3,26,2,1,0,,
,RetarderRoadSpeedLimitSwitch,3,Not Available,,3,28,2,1,0,,
,RetarderRoadSpeedExceededStatus,3,Dont care/Take no action,,3,30,2,1,0,,
,SrcAddrssOfCntrllngDvcFrRtrdrCtr,41,--,,29,32,8,1,0,,
,DrvrsDemandRetarderPercentTorque,130%,--,,FF,40,8,1,-125,,
,RetarderSelectionNonengine,102%,--,,FF,48,8,0.4,0,,
,ActlMxAvlblRetarderPercentTorque,-21%,--,,68,56,8,1,-125,,
30,Receive,604.7980,ETC2,18F00503,00F005,03,--,Extend,Data frm,08,7D FF FF 7D 00 00 20 4E ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TransSelectedGear,0,--,,7D,0,8,1,-125,,
,TransActualGearRatio,65.535,--,,FFFF,8,16,0.001,0,,
,TransCurrentGear,0,--,,7D,24,8,1,-125,,
,TransRequestedRange,0per byte,--,,0,32,16,1,0,,
,TransCurrentRange,20000per byte,--,,4E20,48,16,1,0,,
31,Receive,604.8080,--,18FF5127,00FF51,27,--,Extend,Data frm,08,0E 01 A4 06 0D 53 7F FF ,,
32,Receive,604.7365,--,18FF8700,00FF87,00,--,Extend,Data frm,08,10 0B 33 CA 00 00 00 19 ,,
33,Receive,604.6405,IO,18FEDC00,00FEDC,00,--,Extend,Data frm,08,D2 2B 00 00 4B C2 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngTotalIdleFuelUsed,5609L,--,,2BD2,0,32,0.5,0,,
,EngTotalIdleHours,2486.9hr,--,,C24A,32,32,0.05,0,,
34,Receive,604.8383,TD,18FEE617,00FEE6,17,--,Extend,Data frm,08,CC 1C 0B 04 30 2A FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Seconds,2s,--,,8,0,8,0.25,0,,
,Minutes,24mins,--,,18,8,8,1,0,,
,Hours,11hr,--,,B,16,8,1,0,,
,Month,4months,--,,4,24,8,1,0,,
,Day,12days,--,,30,32,8,0.25,0,,
,Year,2027years,--,,2A,40,8,1,1985,,
,LocalMinuteOffset,130mins,--,,FF,48,8,1,-125,,
,LocalHourOffset,130hr,--,,FF,56,8,1,-125,,
35,Receive,604.6905,LFC,18FEE900,00FEE9,00,--,Extend,Data frm,08,F1 7B 03 00 F1 7B 03 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngTripFuel,114168.5L,--,,37BF1,0,32,0.5,0,,
,EngTotalFuelUsed,114168.5L,--,,37BF1,32,32,0.5,0,,
36,Receive,604.7405,VH,18FEE700,00FEE7,00,--,Extend,Data frm,08,FF FF FF FF 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TotalVehicleHours,214748364.75hr,--,,FFFFFFFF,0,32,0.05,0,,
,TotalPowerTakeoffHours,0hr,--,,0,32,32,0.05,0,,
37,Receive,604.6286,CCSS,18FEED00,00FEED,00,--,Extend,Data frm,08,B4 5A 00 FF FF FF FF FF ,,
