Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,698.6763,TSC1,0C000027,000000,27,00,Extend,Data frm,08,FC FF FF FF FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,0,Override disabled Disable any existing control commanded by the source of this command,,0,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,3,Low priority,,3,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,130%,--,,FF,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,15,--,,F,56,4,1,0,,
,MessageChecksum,15,--,,F,60,4,1,0,,
2,Receive,698.6781,TSC1,0C000F27,000000,27,0F,Extend,Data frm,08,FC FF FF FF FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,0,Override disabled Disable any existing control commanded by the source of this command,,0,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,3,Low priority,,3,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,130%,--,,FF,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,15,--,,F,56,4,1,0,,
,MessageChecksum,15,--,,F,60,4,1,0,,
3,Receive,698.6786,TSC1,0C000127,000000,27,01,Extend,Data frm,08,DF F8 FF AD FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,3,Speed/torque limit control Limit speed and/or torque based on the included limit values The speed limit governor is,,3,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,1,High priority,,1,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65528rpm,--,,FFF8,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,48%,--,,AD,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,15,--,,F,56,4,1,0,,
,MessageChecksum,15,--,,F,60,4,1,0,,
4,Receive,698.6792,--,0CFF0027,00FF00,27,--,Extend,Data frm,08,98 58 50 14 6C FF FF FF ,,
5,Receive,698.6769,EEC1,0CF00400,00F004,00,--,Extend,Data frm,08,50 FF 86 50 14 03 FF 87 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngTorqueMode,0,--,,0,0,4,1,0,,
,ActlEngPrcntTorqueHighResolution,0,0000,,0,4,4,1,0,,
,DriversDemandEngPercentTorque,130%,--,,FF,8,8,1,-125,,
,ActualEngPercentTorque,0%,--,,7D,16,8,1,-125,,
,EngSpeed,0rpm,--,,0,24,16,0.125,0,,
,SrcAddrssOfCntrllngDvcForEngCtrl,3,--,,3,40,8,1,0,,
,EngStarterMode,15,not available,,F,48,4,1,0,,
,EngDemandPercentTorque,0%,--,,7D,56,8,1,-125,,
6,Receive,698.6494,--,18FF2100,00FF21,00,--,Extend,Data frm,08,E0 13 FF 30 03 00 00 00 ,,
7,Receive,698.6500,A1SCRDSI1,18F02300,00F023,00,--,Extend,Data frm,08,00 00 FF FF FF 0D FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Aftrtrtmnt1SCRActlDsngRgntQntity,0g/h,--,,0,0,16,0.3,0,,
,Aftertreatment1SCRSystemState,15,Not available,,F,16,4,1,0,,
,Aftrtrtmnt1SCRActlRgntQnttyOfInt,6553.5g,--,,FFFF,24,16,0.1,0,,
,Aftrtrtmnt1SCRDsngRagentAbsPress,104kPa,--,,D,40,8,8,0,,
8,Receive,698.4506,EEC3,18FEDF00,00FEDF,00,--,Extend,Data frm,08,85 5C 1F 7D 7D FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,NominalFrictionPercentTorque,5%,--,,82,0,8,1,-125,,
,EnginesDesiredOperatingSpeed,8000rpm,--,,1F40,8,16,1,0,,
,EngnsDsrdOprtngSpdAsymmtryAdjstm,125,--,,7D,24,8,1,0,,
,EstEngPrsiticLossesPercentTorque,0%,--,,7D,32,8,1,-125,,
,Aftrtreatment1ExhaustGasMassFlow,13107kg/h per bit,--,,FFFF,40,16,0.2,0,,
,Aftertreatment1IntakeDewPoint,3,Not available,,3,56,2,1,0,,
,Aftertreatment1ExhaustDewPoint,3,Not available,,3,58,2,1,0,,
,Aftertreatment2IntakeDewPoint,3,Not available,,3,60,2,1,0,,
,Aftertreatment2ExhaustDewPoint,3,Not available,,3,62,2,1,0,,
9,Receive,698.4511,EOI,18FD9200,00FD92,00,--,Extend,Data frm,08,F4 FF FF FF FF FC FF 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOperatingState,0,--,,0,0,4,1,0,,
,FuelPumpPrimerCtrl,3,Unavailable,,3,4,2,1,0,,
,TimeRemainingInEngOperatingState,65535s,--,,FFFF,8,16,1,0,,
,EngFuelShutoffVentCtrl,3,Dont care / take no action,,3,24,2,1,0,,
,EngFuelShutoff1Ctrl,3,Dont care / take no action,,3,26,2,1,0,,
,EngFuelShutoff2Ctrl,3,Dont care / take no action,,3,28,2,1,0,,
,EngFuelShutoffValveLeakTestCtrl,3,Dont care / take no action,,3,30,2,1,0,,
,EngOilPrimingPumpCtrl,3,unavailable,,3,32,2,1,0,,
,EngOilPreheaterCtrl,3,Dont care / take no action,,3,34,2,1,0,,
,EngElctrclSystmPwrCnsrvationCtrl,3,Unavailable,,3,36,2,1,0,,
,EngBlock_CoolantPreheaterCtrl,3,Unavailable,,3,38,2,1,0,,
,EngCoolantCirculatingPumpCtrl,0,Off,,0,40,2,1,0,,
,EngControlledShutdownRq,3,Dont care / take no action,,3,42,2,1,0,,
,EngEmergencyShutdownIndication,3,Dont care / take no action,,3,44,2,1,0,,
,EngDerateRq,0%,--,,0,56,8,1,0,,
10,Receive,698.4517,CCSS,18FEED00,00FEED,00,--,Extend,Data frm,08,FA 64 00 FF FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,MaxVehicleSpeedLimit,250km/h,--,,FA,0,8,1,0,,
,CruiseCtrlHighSetLimitSpeed,100km/h,--,,64,8,8,1,0,,
,CruiseCtrlLowSetLimitSpeed,0km/h,--,,0,16,8,1,0,,
11,Receive,698.6014,PTODE,18FDA472,00FDA4,72,--,Extend,Data frm,08,FF FF FF FF FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EnblSwtchTrnsfrCseOutputShaftPTO,3,Not available,,3,0,2,1,0,,
,EnableSwitchTransOutputShaftPTO,3,Not available,,3,2,2,1,0,,
,EnableSwitchTransInputShaftPTO2,3,Not available,,3,4,2,1,0,,
,EnableSwitchTransInputShaftPTO1,3,Not available,,3,6,2,1,0,,
,EnableSwitchPTOEngFlywheel,3,Not available,,3,8,2,1,0,,
,EnbleSwitchPTOEngAccessoryDrive1,3,Not available,,3,10,2,1,0,,
,EnbleSwitchPTOEngAccessoryDrive2,3,Not available,,3,12,2,1,0,,
,EnggmntCnsntTrnsfrCsOtptShaftPTO,3,Not available,,3,16,2,1,0,,
,EnggmntCnsentTransOutputShaftPTO,3,Not available,,3,18,2,1,0,,
,EnggmntCnsentTransInputShaftPTO2,3,Not available,,3,20,2,1,0,,
,EnggmntCnsentTransInputShaftPTO1,3,Not available,,3,22,2,1,0,,
,EngagementConsentPTOEngFlywheel,3,Not available,,3,24,2,1,0,,
,EnggmntCnsntPTOEngAccssoryDrive1,3,Not available,,3,26,2,1,0,,
,EnggmntCnsntPTOEngAccssoryDrive2,3,Not available,,3,28,2,1,0,,
,EnggmntSttsTrnsfrCsOtputShaftPTO,3,Not available,,3,32,2,1,0,,
,EnggmntStatusTransOutputShaftPTO,3,Not available,,3,34,2,1,0,,
,EnggmntStatusTransInputShaftPTO2,3,Not available,,3,36,2,1,0,,
,EnggmntStatusTransInputShaftPTO1,3,Not available,,3,38,2,1,0,,
,EngagementStatusPTOEngFlywheel,3,Not available,,3,40,2,1,0,,
,EnggmntSttsPTOEngAccessoryDrive1,3,Not available,,3,42,2,1,0,,
,EnggmntSttsPTOEngAccessoryDrive2,3,Not available,,3,44,2,1,0,,
,AtLeastOnePTOEngaged,3,Not available,,3,48,2,1,0,,
12,Receive,698.6752,ETC1,0CF00203,00F002,03,--,Extend,Data frm,08,CC 00 00 00 F0 50 14 FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TransDrivelineEngaged,0,Driveline disengaged,,0,0,2,1,0,,
,TrnsTorqueConverterLockupEngaged,3,Not available,,3,2,2,1,0,,
,TransShiftInProcess,1,Shift in process,,1,4,2,1,0,,
,TrnsTrqCnvrtrLckpTrnstnInProcess,3,Not available,,3,6,2,1,0,,
,TransOutputShaftSpeed,0rpm,--,,0,8,16,0.125,0,,
,PercentClutchSlip,102%,--,,FF,24,8,0.4,0,,
,EngMomentaryOverspeedEnable,0,Momentary engine overspeed is disabled,,0,32,2,1,0,,
,ProgressiveShiftDisable,0,Progressive shift is not disabled,,0,34,2,1,0,,
,MomentaryEngMaxPowerEnable,3,not available,,3,36,2,1,0,,
,TransInputShaftSpeed,8191.875rpm,--,,FFFF,40,16,0.125,0,,
,SrcAddrssOfCntrllngDvcFrTrnsCtrl,255,--,,FF,56,8,1,0,,
13,Receive,698.6758,TSC1,0C000003,000000,03,00,Extend,Data frm,08,DE FF FF 7D FF FF FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,EngOverrideCtrlMode,2,Torque control Control torque to the included desired torque value,,2,0,2,1,0,,
,EngRequestedSpeedCtrlConditions,3,Stability Optimized for driveline engaged and/or in lockup condition 2 eg PTO driveline,,3,2,2,1,0,,
,OverrideCtrlModePriority,1,High priority,,1,4,2,1,0,,
,EngRequestedSpeed_SpeedLimit,65535rpm,--,,FFFF,8,16,1,0,,
,EngRequestedTorque_TorqueLimit,0%,--,,7D,24,8,1,-125,,
,TSC1TransRate,7,Use standard TSC1 transmission rates of 10 ms to engine,,7,32,3,1,0,,
,TSC1CtrlPurpose,31,P32 Temporary Power Train Control Original use of TSC1 Command,,1F,35,5,1,0,,
,EngRequestedTorqueHighResolution,15%,--,,F,40,4,1,0,,
,MessageCounter,15,--,,F,56,4,1,0,,
,MessageChecksum,15,--,,F,60,4,1,0,,
14,Receive,698.6100,ETC2,18F00503,00F005,03,--,Extend,Data frm,08,7D 00 00 7D FF FF 20 4E ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TransSelectedGear,0,--,,7D,0,8,1,-125,,
,TransActualGearRatio,0,--,,0,8,16,0.001,0,,
,TransCurrentGear,0,--,,7D,24,8,1,-125,,
,TransRequestedRange,65535per byte,--,,FFFF,32,16,1,0,,
,TransCurrentRange,20000per byte,--,,4E20,48,16,1,0,,
15,Receive,698.5955,EBC1,18F0010B,00F001,0B,--,Extend,Data frm,08,00 00 FF CF FA CD FF FF ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ASREngCtrlActive,0,ASR engine control passive but installed,,0,0,2,1,0,,
,ASRBrakeCtrlActive,0,ASR brake control passive but installed,,0,2,2,1,0,,
,AntiLockBrakingActive,0,ABS passive but installed,,0,4,2,1,0,,
,EBSBrakeSwitch,0,Brake pedal is not being pressed,,0,6,2,1,0,,
,BrakePedalPos,0%,--,,0,8,8,0.4,0,,
,ABSOffroadSwitch,3,Not available,,3,16,2,1,0,,
,ASROffroadSwitch,3,Not available,,3,18,2,1,0,,
,ASRHillHolderSwitch,3,Not available,,3,20,2,1,0,,
,TractionCtrlOverrideSwitch,3,Not available or not installed,,3,22,2,1,0,,
,AccelInterlockSwitch,3,Not available,,3,24,2,1,0,,
,EngDerateSwitch,3,Not available,,3,26,2,1,0,,
,EngAuxShutdownSwitch,0,Off,,0,28,2,1,0,,
,RemoteAccelEnableSwitch,3,Not available,,3,30,2,1,0,,
,EngRetarderSelection,100%,--,,FA,32,8,0.4,0,,
,ABSFullyOperational,1,Fully Operational,,1,40,2,1,0,,
,EBSRedWarningSignal,3,Take no action,,3,42,2,1,0,,
,ABS_EBSAmberWarningSignal,0,Off,,0,44,2,1,0,,
,ATC_ASRInformationSignal,3,Take no action,,3,46,2,1,0,,
,SrcAddrssOfCntrllngDvcFrBrkeCtrl,255,--,,FF,48,8,1,0,,
,HaltBrakeSwitch,3,Not available,,3,58,2,1,0,,
,TrailerABSStatus,3,Trailer ABS Status Information Not Available or Parameter Not Supported,,3,60,2,1,0,,
,TrctrMntdTrailerABSWarningSignal,3,Take no action,,3,62,2,1,0,,
16,Receive,698.2004,RQST,18EA0027,00EA00,27,00,Extend,Data frm,03,E9 FE 00 ,Request,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ParameterGroupNumber,65253,--,,FEE5,0,24,1,0,,
17,Receive,698.6688,EEC2,0CF00300,00F003,00,--,Extend,Data frm,08,FF FF 15 FF FF 0F 72 79 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,AccelPedal1LowIdleSwitch,3,Not available,,3,0,2,1,0,,
