Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,395.0423,--,19FF34E6,01FF34,E6,--,Extend,Data frm,08,FF FF FF FF FF FF FF FF ,,
2,Receive,395.0517,--,0CFF255A,00FF25,5A,--,Extend,Data frm,08,7F 7D 00 00 7F 7D FA 01 ,,
3,Receive,395.0426,--,19FF8EE6,01FF8E,E6,--,Extend,Data frm,08,FF FF FF FF FF FF FF FF ,,
4,Receive,395.0520,--,0CFF6F5A,00FF6F,5A,--,Extend,Data frm,08,FB B0 0F FB FB 78 22 02 ,,
5,Receive,395.0598,SAS,0CF01D27,00F01D,27,--,Extend,Data frm,08,4A 7E 20 3C 0D E7 F5 10 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,SteerWheelAngle,0.2270470780485105rad,--,,7E68,0,16,0.00097654657225119,-31.374,,
,SteerWheelAngleRangeCounter,0ranges,--,,20,16,6,1,-32,,
,SteerWheelAngleRangeCounterType,0,relative number of counts,,0,22,2,1,0,,
,SteerWheelAngleRange,26.38775320208564rad,--,,E70D,32,16,0.00097654657225119,-31.374,,
,SteerAngleSensorActiveMode,1,Normal mode active,,1,48,2,1,0,,
,SteerAngleSensorCalibrated,1,SAS calibrated,,1,50,2,1,0,,
,MessageCounter,9,--,,9,56,4,1,0,,
,MessageChecksum,9,--,,9,60,4,1,0,,
6,Receive,394.5470,--,18FF5F00,00FF5F,00,--,Extend,Data frm,08,FA 00 F0 14 C0 FF F8 FF ,,
7,Receive,395.0571,ETC2,18F00503,00F005,03,--,Extend,Data frm,08,7D 00 00 7D 20 4E 20 4E ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,TransSelectedGear,0,--,,7D,0,8,1,-125,,
,TransActualGearRatio,0,--,,0,8,16,0.001,0,,
,TransCurrentGear,0,--,,7D,24,8,1,-125,,
